name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
,5098,5134309940,crossing,,0,,,,-122.3060847,47.6497724,,,
,5099,5134309941,,,0,,,,-122.3059908,47.6498556,,,
,5100,5134309942,,,0,,,,-122.3061793,47.6496886,,,
,5101,5134309943,,,0,,,,-122.3061495,47.6499356,,,
,5102,5134309944,,,0,,,,-122.3055965,47.6502482,,,
,5103,5134309947,,,0,,,,-122.3060628,47.6500135,,,
,5104,5205659996,,,0,,,,-122.307382,47.6507944,,,
,5105,5205660005,,,0,,,,-122.3046263,47.6511532,,,
,5106,5206187055,,,0,,,,-122.3131512,47.6608214,,,
,5107,5262460523,,,0,,,,-122.3124205,47.65444,,,
,5108,5281191117,stop,,0,,,,-122.3166894,47.6572878,,,
,5109,5281191121,,,0,,,,-122.3168034,47.6573208,,,
,5110,5369721223,,,0,,,,-122.289264,47.657882,,,
,5111,5424170166,,,0,,,,-122.3033698,47.6496525,,,
,5112,5424170169,,,0,,,,-122.3036269,47.6492413,,,
,5113,5424170174,,,0,,,,-122.3008776,47.6489856,,,
,5114,5424170176,,,0,,,,-122.3008206,47.6489646,,,
,5115,5424170177,,,0,,,,-122.3007611,47.6489428,,,
,5116,5424170182,,,0,,,,-122.3026773,47.6486784,,,
,5117,5424170194,,,0,,,,-122.3029328,47.6481487,,,
,5118,5424170197,,,0,,,,-122.3032125,47.6486768,,,
,5119,5424170198,,,0,,,,-122.303211,47.6488514,,,
,5120,5424170200,,,0,,,,-122.30404,47.6488575,,,
,5121,5424170202,,,0,,,,-122.3029198,47.6486777,,,
,5122,5443485468,,,0,,,,-122.3191779,47.6625927,,,
,5123,5443485469,,,0,,,,-122.3191738,47.6630745,,,
,5124,5443485470,,,0,,,,-122.3191698,47.663128,,,
,5125,5443485513,,,0,,,,-122.3172314,47.6631868,,,
,5126,5443485514,,,0,,,,-122.3172332,47.6631137,,,
,5127,5443485515,,,0,,,,-122.3174312,47.6625591,,,
,5128,5443485516,,,0,,,,-122.3173337,47.6625585,,,
,5129,5443485519,,,0,,,,-122.3173414,47.6622429,,,
,5130,5443485520,,,0,,,,-122.3174377,47.6622449,,,
,5131,5443512721,,,0,,,,-122.3160002,47.6627319,,,
,5132,5443512722,,,0,,,,-122.316436,47.6622268,,,
,5133,5443512723,,,0,,,,-122.3165202,47.6622286,,,
,5134,5443512724,,,0,,,,-122.3158888,47.6624704,,,
,5135,5443512725,,,0,,,,-122.3163517,47.6624738,,,
,5136,5443512726,,,0,,,,-122.3164292,47.662476,,,
,5137,5443512734,,,0,,,,-122.3149305,47.6622725,,,
,5138,5443512735,,,0,,,,-122.3160807,47.6618881,,,
,5139,5443512737,,,0,,,,-122.316429,47.6617816,,,
,5140,5443512738,,,0,,,,-122.3159682,47.6617786,,,
,5141,5443512739,,,0,,,,-122.3164818,47.661783,,,
