name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
,9694,607207374,5437,6167,,3.917790638064517,1,4,,footway,9,"LINESTRING (-122.309047 47.6597191, -122.3089948 47.6597214)",walk,0
,9695,607207374,6167,5436,,7.552207756249795,1,4,,footway,9,"LINESTRING (-122.3089948 47.6597214, -122.308894 47.6597233)",walk,0
,9696,607207375,5442,5441,,8.650284674598067,1,4,,footway,9,"LINESTRING (-122.30857 47.6598087, -122.3086855 47.6598091)",walk,0
,9697,607207375,5441,6344,,5.6943303051438185,1,4,,footway,9,"LINESTRING (-122.3086855 47.6598091, -122.3087615 47.6598076)",walk,0
,9698,607207376,5439,5438,,31.79792452946328,1,4,,footway,9,"LINESTRING (-122.309013 47.6598063, -122.3093823 47.6598038, -122.3094092 47.6598089, -122.3094291 47.6598215)",walk,0
,9699,607207377,5450,5462,,1.3119344552870034,1,4,,footway,9,"LINESTRING (-122.3071997 47.6596449, -122.3072112 47.659636)",walk,0
,9700,607207379,5453,5468,,48.715201568180234,1,4,,footway,9,"LINESTRING (-122.3063996 47.6589676, -122.3068509 47.6592831)",bike;walk,0
,9701,607207380,5468,6178,,3.983708536686143,1,4,,footway,9,"LINESTRING (-122.3068509 47.6592831, -122.306889 47.6593081)",bike;walk,0
,9702,607207380,6178,5447,,2.779195736215054,1,4,,footway,9,"LINESTRING (-122.306889 47.6593081, -122.3069152 47.6593258)",bike;walk,0
,9703,607207381,5469,5463,,0.6854911520241035,1,4,,footway,9,"LINESTRING (-122.3068858 47.6594229, -122.3068791 47.6594271)",walk,0
,9704,607207381,5463,760,,7.622137297845156,1,4,,footway,9,"LINESTRING (-122.3068791 47.6594271, -122.3068046 47.6594738)",walk,0
,9705,607207382,5460,5467,,4.8572283288431075,1,4,,footway,9,"LINESTRING (-122.3069615 47.6593755, -122.3069145 47.6594056)",walk,0
,9706,607207382,5467,5469,,2.8845555889006023,1,4,,footway,9,"LINESTRING (-122.3069145 47.6594056, -122.3068858 47.6594229)",walk,0
,9707,607207383,5459,1203,,3.098106189451121,1,4,,footway,9,"LINESTRING (-122.3060255 47.6587559, -122.3059961 47.6587755)",walk,0
,9708,607207383,1203,5461,,5.46174957821516,1,4,,footway,9,"LINESTRING (-122.3059961 47.6587755, -122.3059439 47.6588098)",walk,0
,9709,607207384,5419,5463,,71.99442785867454,1,4,,footway,9,"LINESTRING (-122.3061984 47.6590135, -122.3062392 47.6589919, -122.3065826 47.6592241, -122.3068509 47.6594084, -122.3068791 47.6594271)",bike;walk,0
,9710,607207384,5463,5450,,34.105485942415626,1,4,,footway,9,"LINESTRING (-122.3068791 47.6594271, -122.306938 47.6594653, -122.3071997 47.6596449)",bike;walk,0
,9711,607207384,5450,5445,,9.650965762339258,1,4,,footway,9,"LINESTRING (-122.3071997 47.6596449, -122.3072979 47.6597011)",bike;walk,0
,9712,607207384,5445,5446,,22.846902372889808,1,4,,footway,9,"LINESTRING (-122.3072979 47.6597011, -122.3074221 47.6597411, -122.3075759 47.6597856)",bike;walk,0
,9713,607207384,5446,5444,,18.27543209779317,1,4,,footway,9,"LINESTRING (-122.3075759 47.6597856, -122.3077105 47.6598045, -122.3078155 47.6598166)",bike;walk,0
,9714,607207384,5444,5443,,44.779736524685106,1,4,,footway,9,"LINESTRING (-122.3078155 47.6598166, -122.3080424 47.6598194, -122.3084132 47.6598117)",bike;walk,0
,9715,607207384,5443,5442,,11.747998268711655,1,4,,footway,9,"LINESTRING (-122.3084132 47.6598117, -122.30857 47.6598087)",bike;walk,0
,9716,607207385,5461,2819,,1.8681096188302673,1,4,,footway,9,"LINESTRING (-122.3059439 47.6588098, -122.3059388 47.6588131, -122.305926 47.6588215)",walk,0
,9717,607207385,2819,2820,,3.1927762020231683,1,4,,footway,9,"LINESTRING (-122.305926 47.6588215, -122.305896 47.6588419)",walk,0
,9718,607207386,5465,2867,,2.882558732711577,1,4,,footway,9,"LINESTRING (-122.3057789 47.6585861, -122.3057524 47.6586049)",walk,0
,9719,607207386,2867,5456,,5.327101776744146,1,4,,footway,9,"LINESTRING (-122.3057524 47.6586049, -122.3056996 47.658637)",walk,0
,9720,607207387,5464,36,,4.039406328597187,1,4,,footway,9,"LINESTRING (-122.3054625 47.6584567, -122.3055107 47.6584404)",walk,0
