name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
South Packard Drive,123,5630444,1947,1001,,68.43565033893798,1,29,,unclassified,11,"LINESTRING (-111.929292 33.4273267, -111.929282 33.4267113)",bike;auto;walk,1
South Packard Drive,124,5630444,1947,962,,72.60595797924726,1,29,,unclassified,11,"LINESTRING (-111.929292 33.4273267, -111.9293027 33.4279796)",bike;auto;walk,1
South Packard Drive,125,5630444,962,1947,,72.60595797924726,1,29,,unclassified,11,"LINESTRING (-111.9293027 33.4279796, -111.929292 33.4273267)",bike;auto;walk,1
South Packard Drive,126,5630444,962,1326,,62.58090104263199,1,29,,unclassified,11,"LINESTRING (-111.9293027 33.4279796, -111.9293051 33.4285424)",bike;auto;walk,1
South Packard Drive,127,5630444,1326,962,,62.58090104263199,1,29,,unclassified,11,"LINESTRING (-111.9293051 33.4285424, -111.9293027 33.4279796)",bike;auto;walk,1
South Packard Drive,128,5630444,1326,38,,12.142618947623465,1,29,,unclassified,11,"LINESTRING (-111.9293051 33.4285424, -111.9293052 33.4285703, -111.9293057 33.4286516)",bike;auto;walk,1
South Packard Drive,129,5630444,38,1326,,12.142618947623465,1,29,,unclassified,11,"LINESTRING (-111.9293057 33.4286516, -111.9293052 33.4285703, -111.9293051 33.4285424)",bike;auto;walk,1
East 8th Street,130,5636208,14,2280,,177.98622812066736,1,30,,tertiary,5,"LINESTRING (-111.9262379 33.4209763, -111.9261191 33.4209521, -111.9243772 33.4205887)",bike;auto;walk,1
East 8th Street,131,5636208,2280,14,,177.98622812066736,1,30,,tertiary,5,"LINESTRING (-111.9243772 33.4205887, -111.9261191 33.4209521, -111.9262379 33.4209763)",bike;auto;walk,1
East 8th Street,132,5636208,2280,2159,,119.6904386829576,1,30,,tertiary,5,"LINESTRING (-111.9243772 33.4205887, -111.9242516 33.4205624, -111.9241712 33.4205457, -111.923925 33.4204935, -111.9231271 33.4203242)",bike;auto;walk,1
