node_id,x_coord,y_coord,meso_link_id,lane_no,activity_type,is_boundary
11701,-122.31979,47.65942,1193,1,,0
11702,-122.31979,47.65948,1194,1,residential,0
11703,-122.31987,47.65949,1194,1,,0
11704,-122.2901,47.65982,1195,1,residential,0
11705,-122.29006,47.65982,1195,1,,0
11706,-122.29006,47.65988,1196,1,residential,0
11707,-122.2901,47.65988,1196,1,,0
11708,-122.29003,47.65982,1197,1,residential,0
11709,-122.29,47.65982,1197,1,,0
11710,-122.29001,47.65988,1198,1,residential,0
11711,-122.29004,47.65988,1198,1,,0
11712,-122.28989,47.65981,1199,1,residential,0
11713,-122.2898,47.65981,1199,1,,0
11714,-122.28971,47.65981,1199,1,,0
11715,-122.28961,47.65981,1199,1,,0
11716,-122.28952,47.65981,1199,1,,0
11717,-122.28943,47.65981,1199,1,,0
11718,-122.28936,47.65981,1199,1,,0
11719,-122.28936,47.65987,1200,1,residential,0
11720,-122.28946,47.65987,1200,1,,0
11721,-122.28955,47.65987,1200,1,,0
11722,-122.28964,47.65988,1200,1,,0
11723,-122.28974,47.65988,1200,1,,0
11724,-122.28983,47.65988,1200,1,,0
11725,-122.28989,47.65988,1200,1,,0
11726,-122.28915,47.65981,1201,1,residential,0
11727,-122.28906,47.65981,1201,1,,0
11728,-122.28897,47.65981,1201,1,,0
11729,-122.28887,47.65981,1201,1,,0
11730,-122.28878,47.65981,1201,1,,0
11731,-122.2887,47.6598,1201,1,,0
11732,-122.28869,47.65987,1202,1,residential,1
11733,-122.28879,47.65987,1202,1,,0
11734,-122.28888,47.65987,1202,1,,0
11735,-122.28897,47.65987,1202,1,,0
11736,-122.28907,47.65987,1202,1,,0
11737,-122.28915,47.65987,1202,1,,0
11738,-122.29015,47.66051,1203,1,residential,0
11739,-122.29006,47.66051,1203,1,,0
11740,-122.28996,47.66051,1203,1,,0
11741,-122.28987,47.66051,1203,1,,0
11742,-122.28978,47.66051,1203,1,,0
11743,-122.28968,47.66051,1203,1,,0
11744,-122.28959,47.6605,1203,1,,0
11745,-122.2895,47.6605,1203,1,,0
11746,-122.28941,47.6605,1203,1,,0
11747,-122.28935,47.6605,1203,1,,0
11748,-122.28935,47.66056,1204,1,residential,0
11749,-122.28944,47.66057,1204,1,,0
11750,-122.28953,47.66057,1204,1,,0
11751,-122.28963,47.66057,1204,1,,0
11752,-122.28972,47.66057,1204,1,,0
11753,-122.28981,47.66057,1204,1,,0
11754,-122.28991,47.66057,1204,1,,0
11755,-122.29,47.66057,1204,1,,0
11756,-122.29009,47.66057,1204,1,,0
11757,-122.29015,47.66057,1204,1,,0
11758,-122.28923,47.6605,1205,1,residential,0
11759,-122.28914,47.6605,1205,1,,0
11760,-122.28905,47.6605,1205,1,,0
11761,-122.28905,47.66056,1206,1,residential,0
11762,-122.28915,47.66056,1206,1,,0
11763,-122.28923,47.66056,1206,1,,0
11764,-122.28894,47.66049,1207,1,residential,0
11765,-122.28884,47.66049,1207,1,,0
11766,-122.28875,47.66049,1207,1,,0
11767,-122.2887,47.66049,1207,1,,0
11768,-122.28869,47.66055,1208,1,residential,1
11769,-122.28879,47.66056,1208,1,,0
11770,-122.28888,47.66056,1208,1,,0
11771,-122.28893,47.66056,1208,1,,0
11772,-122.29123,47.66275,1209,1,residential,0
11773,-122.29122,47.66284,1209,1,,0
11774,-122.29132,47.66285,1210,1,residential,0
11775,-122.29132,47.66275,1210,1,,0
11776,-122.29122,47.66299,1211,1,residential,0
11777,-122.29122,47.66305,1211,1,,0
11778,-122.29122,47.6631,1211,1,,0
11779,-122.29132,47.6631,1212,1,residential,0
11780,-122.29132,47.66304,1212,1,,0
11781,-122.29132,47.66299,1212,1,,0
11782,-122.29122,47.66324,1213,1,residential,0
11783,-122.29122,47.66331,1213,1,,0
11784,-122.29122,47.66337,1213,1,,0
11785,-122.29122,47.66343,1213,1,,0
11786,-122.29122,47.66349,1213,1,,0
11787,-122.29122,47.66356,1213,1,,0
11788,-122.29122,47.66362,1213,1,,0
11789,-122.29122,47.66368,1213,1,,0
11790,-122.29123,47.66375,1213,1,,0
11791,-122.29123,47.66381,1213,1,,0
11792,-122.29123,47.66387,1213,1,,0
11793,-122.29123,47.66394,1213,1,,0
11794,-122.29123,47.664,1213,1,,0
11795,-122.29123,47.66406,1213,1,,0
11796,-122.29123,47.66412,1213,1,,0
11797,-122.29123,47.66419,1213,1,,0
11798,-122.29123,47.66425,1213,1,,0
11799,-122.29123,47.66431,1213,1,,0
11800,-122.29123,47.66438,1213,1,,0
11801,-122.29123,47.66444,1213,1,,0
11802,-122.29123,47.6645,1213,1,,0
11803,-122.29123,47.66456,1213,1,,0
11804,-122.29123,47.66463,1213,1,,0
11805,-122.29123,47.66469,1213,1,,0
11806,-122.29123,47.66475,1213,1,,0
11807,-122.29123,47.66482,1213,1,,0
11808,-122.29132,47.66482,1214,1,residential,0
11809,-122.29132,47.66475,1214,1,,0
11810,-122.29132,47.66469,1214,1,,0
11811,-122.29132,47.66463,1214,1,,0
11812,-122.29132,47.66456,1214,1,,0
11813,-122.29132,47.6645,1214,1,,0
11814,-122.29132,47.66444,1214,1,,0
11815,-122.29132,47.66437,1214,1,,0
11816,-122.29132,47.66431,1214,1,,0
11817,-122.29132,47.66425,1214,1,,0
11818,-122.29132,47.66419,1214,1,,0
11819,-122.29132,47.66412,1214,1,,0
11820,-122.29132,47.66406,1214,1,,0
11821,-122.29132,47.664,1214,1,,0
11822,-122.29132,47.66393,1214,1,,0
11823,-122.29132,47.66387,1214,1,,0
11824,-122.29132,47.66381,1214,1,,0
11825,-122.29132,47.66374,1214,1,,0
11826,-122.29132,47.66368,1214,1,,0
11827,-122.29132,47.66362,1214,1,,0
11828,-122.29132,47.66356,1214,1,,0
11829,-122.29132,47.66349,1214,1,,0
11830,-122.29132,47.66343,1214,1,,0
11831,-122.29132,47.66337,1214,1,,0
11832,-122.29132,47.6633,1214,1,,0
11833,-122.29132,47.66324,1214,1,,0
