o_zone_id,o_zone_name,d_zone_id,d_zone_name,accessibility,volume,geometry
21,E1,14,C4,3.1172614087195587,1.4575604809425928,"LINESTRING (-122.3359803 47.6474355,-122.3048201 47.6559651)"
21,E1,15,C5,4.207703557080689,0.07603914044164936,"LINESTRING (-122.3359803 47.6474355,-122.2934898 47.6572427)"
21,E1,16,D1,0.38291444201716773,0.6382012811792627,"LINESTRING (-122.3359803 47.6474355,-122.3352917 47.6513437)"
21,E1,17,D2,1.1646469899900105,0.3763433923927852,"LINESTRING (-122.3359803 47.6474355,-122.3246096 47.6514846)"
21,E1,18,D3,2.1761359211595943,0.5030849551150247,"LINESTRING (-122.3359803 47.6474355,-122.3138341 47.6516996)"
21,E1,19,D4,2.9936842970208026,0.4673848919115976,"LINESTRING (-122.3359803 47.6474355,-122.305244 47.6516642)"
21,E1,20,D5,3.5797711062359854,0.0,"LINESTRING (-122.3359803 47.6474355,-122.2989995 47.6504055)"
21,E1,21,E1,0.0,0.0,"LINESTRING (-122.3359803 47.6474355,-122.3359803 47.6474355)"
21,E1,22,E2,1.2735127920088631,0.15001430420052703,"LINESTRING (-122.3359803 47.6474355,-122.3228057 47.6482276)"
21,E1,23,E3,1.7603075658085257,0.07633412706386634,"LINESTRING (-122.3359803 47.6474355,-122.3177506 47.6481432)"
21,E1,24,E4,3.0866590363067323,0.33039443650881417,"LINESTRING (-122.3359803 47.6474355,-122.3040097 47.6485309)"
21,E1,25,E5,4.062062447962499,0.0,"LINESTRING (-122.3359803 47.6474355,-122.2938875 47.6467586)"
21,E1,26,Gate1,1.290399322104205,11.637153309327545,"LINESTRING (-122.3359803 47.6474355,-122.3462375 47.6560168)"
21,E1,27,Gate2,2.977984972241383,242.1959662651532,"LINESTRING (-122.3359803 47.6474355,-122.3148263 47.6699086)"
21,E1,28,Gate3,5.1391703802374264,14.422438872746156,"LINESTRING (-122.3359803 47.6474355,-122.283415 47.6560168)"
21,E1,29,Gate4,2.104492442737702,254.9590776280064,"LINESTRING (-122.3359803 47.6474355,-122.3148263 47.642125)"
22,E2,1,A1,1.9564165329714827,0.08497988732905604,"LINESTRING (-122.3228057 47.6482276,-122.3347924 47.6645809)"
22,E2,2,A2,1.6169920772582156,0.10904942786673323,"LINESTRING (-122.3228057 47.6482276,-122.3257881 47.6647182)"
22,E2,3,A3,1.7799598861167505,0.19072197885721706,"LINESTRING (-122.3228057 47.6482276,-122.3148683 47.6648797)"
22,E2,4,A4,2.3834535124422045,0.20212365399237023,"LINESTRING (-122.3228057 47.6482276,-122.3048193 47.6651586)"
22,E2,5,A5,3.1734375852742334,0.1605855351083894,"LINESTRING (-122.3228057 47.6482276,-122.2943942 47.6647943)"
22,E2,6,B1,1.642748269369565,0.21913346908302592,"LINESTRING (-122.3228057 47.6482276,-122.3345209 47.6605811)"
22,E2,7,B2,1.223054824025718,0.2154592760219165,"LINESTRING (-122.3228057 47.6482276,-122.325519 47.6606093)"
22,E2,8,B3,1.395455393625978,0.38209504913003417,"LINESTRING (-122.3228057 47.6482276,-122.3151817 47.660517)"
22,E2,9,B4,2.1121624079305517,0.2594907623904946,"LINESTRING (-122.3228057 47.6482276,-122.3047029 47.6605345)"
22,E2,10,B5,3.083771379900983,0.32684451466433107,"LINESTRING (-122.3228057 47.6482276,-122.2935066 47.6609936)"
22,E2,11,C1,1.3934085815626915,0.16056255917578727,"LINESTRING (-122.3228057 47.6482276,-122.3350968 47.6558086)"
22,E2,12,C2,0.7897163787148876,0.222037642773235,"LINESTRING (-122.3228057 47.6482276,-122.3253243 47.6560149)"
22,E2,13,C3,1.0659108797789205,0.24494759273455727,"LINESTRING (-122.3228057 47.6482276,-122.3148916 47.6559348)"
22,E2,14,C4,1.889213064321227,0.49105503003235823,"LINESTRING (-122.3228057 47.6482276,-122.3048201 47.6559651)"
22,E2,15,C5,2.9594234546211395,0.02560521563176597,"LINESTRING (-122.3228057 47.6482276,-122.2934898 47.6572427)"
22,E2,16,D1,1.2417228746467142,0.1608484090198955,"LINESTRING (-122.3228057 47.6482276,-122.3352917 47.6513437)"
22,E2,17,D2,0.3592467066440835,0.12200480963695984,"LINESTRING (-122.3228057 47.6482276,-122.3246096 47.6514846)"
22,E2,18,D3,0.9282326193127691,0.17110246403875856,"LINESTRING (-122.3228057 47.6482276,-122.3138341 47.6516996)"
22,E2,19,D4,1.726669804580694,0.15837617133899945,"LINESTRING (-122.3228057 47.6482276,-122.305244 47.6516642)"
22,E2,20,D5,2.306657010727061,0.0,"LINESTRING (-122.3228057 47.6482276,-122.2989995 47.6504055)"
22,E2,21,E1,1.2735127920088631,0.11918698587776305,"LINESTRING (-122.3228057 47.6482276,-122.3359803 47.6474355)"
22,E2,22,E2,0.0,0.0,"LINESTRING (-122.3228057 47.6482276,-122.3228057 47.6482276)"
22,E2,23,E3,0.48783332658281225,0.026265880933335404,"LINESTRING (-122.3228057 47.6482276,-122.3177506 47.6481432)"
22,E2,24,E4,1.813867845134434,0.11199385730713951,"LINESTRING (-122.3228057 47.6482276,-122.3040097 47.6485309)"
22,E2,25,E5,2.793918280527852,0.0,"LINESTRING (-122.3228057 47.6482276,-122.2938875 47.6467586)"
22,E2,26,Gate1,2.382577637856008,2.882250011777957,"LINESTRING (-122.3228057 47.6482276,-122.3462375 47.6560168)"
22,E2,27,Gate2,2.2291808158278656,76.60124203118576,"LINESTRING (-122.3228057 47.6482276,-122.3148263 47.6699086)"
22,E2,28,Gate3,3.8744076778700527,4.859677062630872,"LINESTRING (-122.3228057 47.6482276,-122.283415 47.6560168)"
22,E2,29,Gate4,0.9693009202189783,85.38817699314134,"LINESTRING (-122.3228057 47.6482276,-122.3148263 47.642125)"
23,E3,1,A1,2.2846316982874604,0.06976161702207231,"LINESTRING (-122.3177506 47.6481432,-122.3347924 47.6645809)"
23,E3,2,A2,1.7774387912076768,0.09149788041710748,"LINESTRING (-122.3177506 47.6481432,-122.3257881 47.6647182)"
23,E3,3,A3,1.6386778682575862,0.16666571366378108,"LINESTRING (-122.3177506 47.6481432,-122.3148683 47.6648797)"
23,E3,4,A4,2.0621341558560884,0.18080873187976976,"LINESTRING (-122.3177506 47.6481432,-122.3048193 47.6651586)"
23,E3,5,A5,2.7677372728982936,0.14512641586534172,"LINESTRING (-122.3177506 47.6481432,-122.2943942 47.6647943)"
23,E3,6,B1,2.0146348981391142,0.17875197159722855,"LINESTRING (-122.3177506 47.6481432,-122.3345209 47.6605811)"
23,E3,7,B2,1.4172872123397358,0.17984135421606248,"LINESTRING (-122.3177506 47.6481432,-122.325519 47.6606093)"
23,E3,8,B3,1.21940277985961,0.3356814628109755,"LINESTRING (-122.3177506 47.6481432,-122.3151817 47.660517)"
23,E3,9,B4,1.736247499757469,0.23392954536963775,"LINESTRING (-122.3177506 47.6481432,-122.3047029 47.6605345)"
23,E3,10,B5,2.647600970816073,0.29658241452009393,"LINESTRING (-122.3177506 47.6481432,-122.2935066 47.6609936)"
23,E3,11,C1,1.829871097514051,0.12976051054395382,"LINESTRING (-122.3177506 47.6481432,-122.3350968 47.6558086)"
23,E3,12,C2,1.0540108899665732,0.18322348604568633,"LINESTRING (-122.3177506 47.6481432,-122.3253243 47.6560149)"
23,E3,13,C3,0.8008202410612815,0.21822159145973863,"LINESTRING (-122.3177506 47.6481432,-122.3148916 47.6559348)"
23,E3,14,C4,1.4581822295655975,0.44625654921255775,"LINESTRING (-122.3177506 47.6481432,-122.3048201 47.6559651)"
